Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Age,Property Type,Property Location,Co-Applicant,Property Price
f,24,1768.55,low,commercial associate,laborers,semi-urban,119290.79,413.44,n,y,2,661.63,0,inactive,5,commercial,urban,1,194626.22
f,40,2475.05,low,working,accountants,semi-urban,110272.65,812.28,y,y,3,764.2,0,active,7,industrial,rural,1,134737.9
m,18,2980.44,low,commercial associate,sales staff,semi-urban,104526.38,721.13,n,y,3,737.71,0,unpossessed,6,industrial,rural,1,138812.41
m,55,2222.435,low,working,laborers,semi-urban,124454.33,970.85,y,y,2,739.82,1,unpossessed,6,agriculture,urban,1,175410.44
m,37,1830.08,low,working,hr staff,semi-urban,42316.48,230.22,n,n,1,849.42,0,active,5,agriculture,rural,1,72270.35
m,50,1803.46,low,commercial associate,managers,rural,47474.94,212.19,y,y,2,739.82,0,active,5,residential,rural,1,109993.61
m,34,2222.435,high,working,drivers,urban,53314.64,483.95,y,n,3,714.08,0,active,6,residential,urban,1,95170.87
f,18,2474.65,low,working,cooking staff,semi-urban,75035.42,396.59,n,y,2,739.82,0,unpossessed,7,residential,semi-urban,1,126134.01
m,51,1719.15,low,working,medicine staff,semi-urban,47201.81,234.31,y,n,2,739.82,0,active,6,commercial,semi-urban,1,83659.43
m,45,2785.26,low,working,managers,semi-urban,61303.76,309.32,n,y,1,807.2,0,unpossessed,8,agriculture,semi-urban,1,86804.98
m,58,2222.435,low,working,sales staff,semi-urban,73191.68,545.27,n,y,3,841.19,0,unpossessed,6,commercial,semi-urban,1,93156.34
f,24,1520.35,low,commercial associate,accountants,semi-urban,102477.13,525.68,n,y,2,644.4,1,active,4,agriculture,urban,1,163372.12
f,42,2748.73,low,working,high skill tech staff,semi-urban,103572.91,565.61,n,y,4,775.41,1,inactive,8,industrial,urban,1,190720.13
m,41,2967.67,low,commercial associate,core staff,urban,198362.65,515.96,y,y,4,855.64,0,active,8,industrial,rural,1,368375.01
m,29,3413.43,low,commercial associate,high skill tech staff,urban,110181.97,471.97,y,y,2,861.77,0,active,9,agriculture,semi-urban,1,109993.61
f,39,2222.435,low,commercial associate,accountants,urban,95299.03,471.42,n,y,4,787.44,0,active,6,agriculture,rural,1,135723.97
f,45,2097.41,low,working,hr staff,semi-urban,81780.81,426.02,n,y,2,740.09,0,unpossessed,6,industrial,semi-urban,1,139657.1
f,18,4409.77,low,working,hr staff,semi-urban,23255.32,268.27,n,n,1,707.89,0,active,12,residential,semi-urban,1,35017.31
m,18,1010.88,low,working,medicine staff,semi-urban,146467.36,436.88,n,y,4,753.98,0,active,3,commercial,urban,1,172722.64
m,45,1914.97,low,working,hr staff,semi-urban,27781.52,137.32,n,y,3,669.94,0,inactive,5,industrial,semi-urban,1,35777.96
f,59,3670.17,low,commercial associate,sales staff,semi-urban,111191.0,446.03,y,y,3,826.32,1,unpossessed,10,residential,rural,0,148781.59
f,18,2443.25,low,state servant,waiters/barmen staff,urban,146927.43,427.18,n,y,1,719.43,0,active,7,commercial,rural,1,180350.21
m,18,4863.81,low,working,core staff,semi-urban,179354.51,560.78,n,y,2,825.74,0,unpossessed,13,residential,semi-urban,1,296963.49
f,32,3346.64,low,working,laborers,semi-urban,54865.0,277.52,n,y,2,680.7,0,active,9,industrial,semi-urban,1,80290.9
f,25,3592.55,low,working,sales staff,urban,92412.65,651.73,n,n,1,634.24,0,active,10,agriculture,urban,1,116454.14
m,18,1876.23,low,commercial associate,laborers,semi-urban,50550.76,237.95,y,y,1,692.55,0,unpossessed,5,residential,semi-urban,1,76124.06
f,25,4712.06,low,working,hr staff,semi-urban,156779.8,789.39,y,y,4,673.49,0,active,13,residential,urban,1,217025.58
m,35,2222.435,low,working,private service staff,semi-urban,40151.07,266.78,n,y,2,738.15,0,active,6,residential,rural,1,50689.92
m,65,5643.55,high,pensioner,hr staff,urban,171857.44,668.5,n,y,2,834.24,1,active,15,industrial,semi-urban,1,269216.36
f,34,3133.38,low,commercial associate,drivers,rural,109905.3,911.07,y,n,2,660.78,0,active,6,agriculture,urban,1,183922.31
f,60,2571.06,low,commercial associate,hr staff,urban,36077.9,229.94,n,y,2,751.88,1,unpossessed,7,industrial,rural,1,46123.34
f,62,1744.42,high,pensioner,hr staff,semi-urban,149879.08,497.95,n,y,2,746.22,0,unpossessed,5,commercial,semi-urban,0,197070.15
f,39,2222.435,low,working,laborers,semi-urban,59671.31,438.68,n,n,3,799.84,1,active,6,industrial,semi-urban,1,78117.06
m,27,2222.435,high,working,cooking staff,semi-urban,79028.71,235.68,n,n,4,767.44,0,unpossessed,6,commercial,semi-urban,1,137731.19
m,18,1944.32,low,working,sales staff,semi-urban,79710.2,254.21,n,y,2,717.98,0,unpossessed,5,commercial,rural,1,143687.43
m,58,2222.435,high,working,core staff,semi-urban,167670.82,782.75,n,y,3,613.38,0,unpossessed,6,industrial,rural,1,291673.47
f,24,4537.82,low,commercial associate,accountants,semi-urban,143119.5,474.59,n,y,1,758.13,0,inactive,12,agriculture,urban,1,268880.23
f,56,3466.33,low,commercial associate,hr staff,rural,40902.5,234.36,y,n,1,821.84,0,inactive,9,industrial,semi-urban,1,66907.57
f,50,1586.85,low,working,laborers,semi-urban,50698.26,357.5,y,n,2,750.96,0,active,4,commercial,urban,0,73937.61
f,46,2222.435,low,working,medicine staff,semi-urban,171997.75,859.98,n,y,3,825.59,0,inactive,6,agriculture,rural,1,202320.25
m,27,1868.19,low,state servant,hr staff,rural,73785.29,361.58,y,y,4,672.62,0,unpossessed,5,industrial,semi-urban,1,95305.21
f,36,2955.66,high,commercial associate,hr staff,semi-urban,17342.2,137.73,n,n,1,834.42,0,unpossessed,8,commercial,rural,1,28101.27
m,19,2222.435,low,commercial associate,drivers,semi-urban,29760.66,180.11,y,y,2,632.2,0,active,6,residential,semi-urban,0,45628.39
f,26,1555.88,low,working,sales staff,semi-urban,77354.46,379.35,n,y,3,626.36,0,unpossessed,4,agriculture,urban,1,120467.59
f,32,2749.32,low,commercial associate,drivers,semi-urban,92924.49,449.95,y,y,2,702.35,0,inactive,8,residential,semi-urban,1,169558.08
f,40,1613.52,low,working,laborers,semi-urban,19912.2,90.84,n,n,2,638.42,1,active,4,agriculture,semi-urban,1,28770.68
m,36,3944.17,low,state servant,medicine staff,semi-urban,137259.15,1347.35,n,y,2,678.8,0,active,11,industrial,rural,1,184355.14
f,26,1736.0,high,working,hr staff,semi-urban,61915.7,303.01,n,y,3,691.4,0,inactive,5,commercial,semi-urban,1,113757.57
f,18,2621.5,low,commercial associate,managers,semi-urban,154450.23,875.12,n,y,2,822.43,0,active,7,commercial,rural,1,262811.03
m,47,2603.55,low,working,cooking staff,rural,37625.86,203.2,n,y,2,659.18,0,inactive,7,residential,semi-urban,0,61918.23
f,54,1844.84,low,working,hr staff,semi-urban,166073.72,419.44,n,n,1,739.82,0,active,5,industrial,semi-urban,1,262926.47
f,60,3109.94,low,commercial associate,hr staff,semi-urban,70594.62,318.19,n,n,1,745.77,0,active,9,industrial,urban,1,101695.3
m,26,3510.05,low,working,private service staff,semi-urban,131847.14,456.9,n,y,2,752.98,1,inactive,10,agriculture,rural,0,231666.07
f,22,1982.63,low,commercial associate,hr staff,semi-urban,38227.31,231.41,n,y,3,627.28,0,active,5,industrial,urban,1,69447.99
m,30,1948.39,low,state servant,core staff,semi-urban,60916.13,323.72,n,y,1,710.72,0,unpossessed,5,agriculture,urban,1,77459.35
m,55,3178.71,low,commercial associate,core staff,semi-urban,36846.72,182.14,n,y,1,660.83,0,inactive,9,residential,urban,1,56423.32
f,18,3159.01,low,commercial associate,laborers,semi-urban,180791.32,601.14,n,y,3,847.09,1,active,9,industrial,semi-urban,1,306842.98
m,21,1830.0,low,working,drivers,semi-urban,78721.86,370.4,y,y,2,732.74,1,unpossessed,5,industrial,urban,1,122033.14
f,48,3148.57,low,commercial associate,hr staff,urban,128333.88,715.49,n,y,2,691.54,0,inactive,9,commercial,semi-urban,1,186144.84
m,61,4033.59,low,working,hr staff,urban,133765.51,397.81,y,y,2,825.09,0,active,11,industrial,rural,1,238262.74
f,21,4292.11,low,working,laborers,urban,126396.46,685.85,y,n,2,809.91,0,unpossessed,12,commercial,semi-urban,1,152091.83
f,46,2898.62,low,state servant,medicine staff,rural,141926.85,741.07,n,y,3,630.58,0,unpossessed,8,industrial,semi-urban,0,268353.8
m,27,2222.435,low,working,high skill tech staff,semi-urban,70513.49,864.38,y,n,2,645.64,0,active,6,agriculture,semi-urban,0,101929.68
m,18,2380.54,low,working,sales staff,semi-urban,72640.31,231.1,n,y,2,759.52,0,active,7,industrial,urban,1,104136.43
f,45,4776.36,low,working,hr staff,semi-urban,35619.05,287.29,n,y,2,804.84,0,inactive,13,agriculture,urban,0,61489.18
f,18,4925.43,low,commercial associate,core staff,urban,127579.55,517.01,n,y,2,831.97,1,active,13,commercial,rural,1,186314.4
m,64,2805.93,low,state servant,hr staff,rural,88336.81,396.81,n,n,2,816.57,1,active,8,industrial,semi-urban,1,118222.44
m,18,2615.0,low,working,hr staff,rural,183474.64,679.08,n,y,3,678.43,0,inactive,7,agriculture,semi-urban,1,227682.92
m,57,2222.435,low,working,laborers,semi-urban,50248.98,351.5,n,n,2,700.76,0,unpossessed,6,residential,rural,1,67199.39
f,36,3608.89,low,commercial associate,managers,rural,90215.82,385.37,y,n,2,645.16,0,active,10,industrial,urban,1,139682.93
f,45,1620.52,low,working,low-skill laborers,semi-urban,98798.11,493.73,n,n,1,671.96,0,active,4,industrial,rural,1,122789.72
f,44,1182.26,low,commercial associate,sales staff,rural,20202.84,95.12,n,n,3,740.31,0,active,3,commercial,rural,1,24118.81
f,48,2183.49,high,working,laborers,semi-urban,74127.94,233.03,y,n,2,674.11,0,unpossessed,6,commercial,semi-urban,1,107174.12
f,26,5629.58,low,working,sales staff,urban,81481.46,436.66,n,y,2,743.38,0,inactive,15,residential,rural,0,120896.64
m,18,3024.93,low,working,high skill tech staff,semi-urban,139618.02,496.26,y,n,4,735.63,0,inactive,8,residential,rural,0,175516.8
m,59,1348.9,low,commercial associate,sales staff,urban,74442.37,397.88,n,n,3,731.89,0,active,4,commercial,urban,1,123244.98
m,27,2167.85,low,working,cooking staff,semi-urban,142258.9,432.18,n,y,4,657.28,0,active,6,residential,rural,1,267188.32
f,30,2222.435,low,commercial associate,sales staff,semi-urban,59314.37,283.17,n,y,2,739.82,0,unpossessed,6,residential,rural,1,77360.74
m,52,2222.435,low,working,managers,rural,93785.09,513.15,n,y,2,802.98,1,inactive,6,residential,rural,1,133448.2
f,32,3220.43,low,commercial associate,laborers,rural,68352.76,343.58,y,y,2,749.0,0,unpossessed,9,agriculture,semi-urban,1,102698.32
m,32,2222.435,high,working,hr staff,urban,19803.3,112.83,n,y,2,747.01,0,unpossessed,6,residential,semi-urban,1,30251.16
m,40,2375.26,low,working,hr staff,rural,102719.73,240.86,n,y,2,785.83,0,unpossessed,7,residential,semi-urban,1,166787.95
f,64,1985.11,low,state servant,high skill tech staff,semi-urban,191311.85,669.68,n,n,2,743.05,0,unpossessed,5,industrial,semi-urban,1,210467.08
f,62,902.78,low,working,hr staff,semi-urban,16224.83,157.48,n,y,1,632.16,0,unpossessed,2,agriculture,urban,1,27698.41
m,23,2835.18,low,working,accountants,semi-urban,186502.94,542.47,n,n,4,657.7,1,unpossessed,8,agriculture,rural,0,215997.85
m,29,1930.34,high,state servant,core staff,urban,108749.44,756.08,n,n,2,789.34,0,active,5,agriculture,rural,1,189416.5
m,18,2222.435,low,working,hr staff,urban,233969.0,953.77,n,y,2,697.54,0,active,6,commercial,rural,1,311783.04
f,45,2901.91,low,commercial associate,core staff,semi-urban,111190.6,408.22,n,n,2,796.28,0,active,8,residential,semi-urban,1,148342.16
m,41,2277.08,low,working,hr staff,rural,79396.17,539.88,n,y,3,632.33,1,inactive,6,residential,urban,1,92881.01
f,54,2991.73,low,commercial associate,accountants,semi-urban,103675.8,553.66,n,y,2,688.78,0,unpossessed,8,commercial,urban,1,180066.29
m,18,3074.88,low,working,drivers,semi-urban,115728.18,464.96,y,y,1,693.11,0,unpossessed,8,commercial,rural,1,134956.59
m,50,2292.87,low,working,drivers,semi-urban,68830.37,554.87,n,n,1,632.21,0,unpossessed,6,agriculture,semi-urban,1,76247.24
f,52,3087.3,low,commercial associate,laborers,semi-urban,181046.67,534.26,y,y,4,801.64,1,active,8,commercial,semi-urban,1,301459.57
m,22,1997.82,low,working,core staff,semi-urban,49106.62,190.46,n,n,1,739.82,1,active,5,industrial,urban,1,77756.1
m,33,4148.58,low,working,laborers,semi-urban,37280.15,220.27,y,n,2,637.23,0,unpossessed,11,industrial,urban,1,59839.35
f,23,4571.91,low,commercial associate,laborers,semi-urban,99496.92,311.86,n,y,2,708.22,0,active,13,industrial,semi-urban,1,118662.35
f,54,2222.435,low,working,hr staff,rural,53909.37,369.83,n,y,1,752.01,0,unpossessed,6,agriculture,urban,1,109993.61
f,30,4027.45,low,commercial associate,core staff,rural,114627.65,436.69,y,n,2,749.17,0,unpossessed,11,industrial,rural,0,167352.74
f,56,1577.11,low,working,medicine staff,rural,79923.59,290.15,n,y,1,821.07,0,unpossessed,4,commercial,semi-urban,1,124303.73
f,18,3086.62,low,working,laborers,semi-urban,86283.0,375.26,n,y,2,760.35,0,active,8,residential,semi-urban,1,146729.47
f,62,1276.47,high,pensioner,hr staff,semi-urban,52263.6,248.67,n,y,2,807.54,0,inactive,3,industrial,urban,1,89480.39
f,46,3289.4,low,working,private service staff,rural,98795.57,456.14,n,y,2,821.87,0,active,9,residential,urban,1,169264.05
m,63,1638.19,low,working,cooking staff,semi-urban,39031.72,243.62,n,y,3,724.46,0,inactive,4,commercial,urban,1,62665.16
f,18,2115.39,low,working,hr staff,semi-urban,32835.42,162.31,n,y,2,739.82,0,inactive,6,residential,rural,1,61703.73
m,29,2630.55,low,working,core staff,semi-urban,87158.38,434.12,n,y,2,838.42,1,unpossessed,7,industrial,rural,1,160949.21
m,39,1599.38,low,working,hr staff,semi-urban,34684.77,173.19,n,y,3,755.0,0,unpossessed,4,agriculture,semi-urban,1,52062.95
f,61,2772.94,low,working,drivers,semi-urban,64928.91,217.91,n,n,2,777.19,0,active,8,agriculture,urban,1,86649.64
m,19,4125.99,low,commercial associate,laborers,semi-urban,270985.61,791.78,y,y,3,717.05,0,active,11,commercial,semi-urban,1,496652.98
m,54,1264.1,low,state servant,core staff,semi-urban,40283.74,340.58,y,y,3,653.66,0,inactive,3,agriculture,urban,1,63648.06
m,26,2303.45,low,commercial associate,core staff,urban,56863.6,322.85,y,y,2,851.54,0,unpossessed,6,residential,semi-urban,0,106244.7
f,39,653.27,low,working,security staff,rural,76107.54,326.4,n,y,4,643.45,1,unpossessed,2,residential,urban,1,131776.42
f,49,8863.85,low,working,core staff,semi-urban,183210.41,1007.4,n,y,2,739.82,1,unpossessed,24,commercial,rural,1,287640.9
m,56,4727.38,low,working,laborers,semi-urban,106828.86,569.7,n,y,1,699.22,0,active,13,commercial,semi-urban,1,187689.06
f,27,5069.36,low,commercial associate,laborers,semi-urban,297864.27,850.43,y,y,4,747.98,0,inactive,14,industrial,rural,1,514266.9
m,18,1853.88,low,working,realty agents,semi-urban,69918.84,347.68,y,y,4,703.54,0,active,5,residential,rural,0,117387.69
f,20,2184.15,low,commercial associate,core staff,semi-urban,134169.71,653.05,n,y,2,757.52,0,unpossessed,6,residential,semi-urban,1,194334.1
f,59,5445.56,low,working,core staff,semi-urban,90171.1,525.7,y,y,2,690.13,0,unpossessed,15,industrial,semi-urban,1,160206.76
f,41,4063.62,high,commercial associate,managers,semi-urban,122605.77,422.86,y,y,2,856.21,0,active,11,residential,semi-urban,1,145241.53
f,44,3154.64,low,commercial associate,laborers,semi-urban,118147.57,480.39,n,y,4,674.17,0,active,9,residential,rural,0,176162.38
m,50,862.33,low,state servant,core staff,rural,56804.92,248.61,n,y,5,659.74,1,inactive,2,industrial,rural,1,101464.19
f,25,1746.39,low,working,high skill tech staff,semi-urban,31624.12,322.57,n,n,2,766.12,0,inactive,5,commercial,rural,1,41504.62
f,20,2600.49,low,working,drivers,semi-urban,6839.29,50.84,y,y,2,651.19,0,inactive,7,agriculture,urban,1,10286.52
f,18,2065.71,low,working,hr staff,semi-urban,99151.6,769.79,y,y,2,769.99,0,active,6,industrial,rural,1,125446.26
m,38,1828.54,low,working,core staff,semi-urban,40928.9,187.05,n,y,3,728.69,0,unpossessed,5,industrial,semi-urban,0,64474.93
m,31,2062.0,low,state servant,laborers,semi-urban,61962.84,564.76,y,y,3,803.2,0,inactive,6,agriculture,rural,1,76620.07
f,25,1973.01,low,commercial associate,laborers,semi-urban,27281.97,123.3,n,y,3,642.59,0,unpossessed,5,industrial,rural,0,48002.11
f,18,2222.435,low,working,sales staff,semi-urban,27996.17,194.18,n,y,3,692.14,0,inactive,6,commercial,urban,1,47625.47
f,43,1898.3,low,working,sales staff,urban,56846.27,264.93,n,n,3,760.38,0,inactive,5,residential,rural,1,69897.45
f,19,632.55,low,working,cleaning staff,semi-urban,75456.21,273.8,n,y,3,820.57,0,inactive,2,residential,rural,1,123798.15
m,47,3483.11,low,working,laborers,rural,45249.67,301.68,y,n,4,714.33,0,unpossessed,10,industrial,urban,1,58636.4
f,55,2867.68,low,working,sales staff,rural,195091.53,553.09,n,y,3,802.74,0,inactive,8,residential,urban,1,357873.45
m,35,1859.44,low,working,sales staff,semi-urban,36551.28,256.37,n,y,1,733.23,1,unpossessed,5,agriculture,rural,1,46237.33
m,44,1324.16,low,working,core staff,semi-urban,48250.17,488.31,n,n,3,760.43,0,inactive,4,residential,urban,1,66857.02
m,18,2381.49,low,working,laborers,semi-urban,24383.54,122.88,n,y,1,699.8,0,active,7,industrial,urban,1,31221.98
m,26,5177.23,low,working,hr staff,semi-urban,160551.55,455.57,y,n,2,745.1,0,active,14,industrial,semi-urban,1,194181.31
m,47,1373.91,low,state servant,core staff,semi-urban,10950.03,99.6,n,y,2,823.58,0,active,4,industrial,rural,1,13350.59
f,36,1850.75,high,working,laborers,semi-urban,37660.22,125.42,n,n,2,619.63,1,active,5,residential,rural,1,66560.9
f,44,1712.3,low,working,hr staff,semi-urban,73942.31,231.0,y,n,3,656.13,0,unpossessed,5,commercial,urban,1,111360.8
f,64,1608.57,high,pensioner,hr staff,rural,35378.33,220.76,n,y,1,789.1,0,active,4,residential,urban,1,48187.18
f,50,2132.81,low,working,laborers,semi-urban,75749.85,408.35,y,y,5,715.77,0,active,6,agriculture,rural,1,99673.96
m,24,1213.17,low,working,hr staff,semi-urban,65119.36,344.98,n,y,2,709.54,0,unpossessed,3,residential,rural,1,113806.52
f,39,1503.25,low,commercial associate,laborers,rural,41753.44,345.54,n,y,3,713.97,1,active,4,industrial,urban,1,56159.16
m,30,2465.57,low,working,hr staff,urban,137786.52,351.45,n,n,2,698.07,0,inactive,7,industrial,urban,1,184622.93
m,41,2694.56,low,state servant,managers,rural,109771.02,487.92,y,y,3,701.19,0,inactive,7,commercial,urban,1,175013.83
f,44,2759.6,low,working,laborers,rural,124753.33,702.95,y,y,2,739.82,0,active,8,residential,urban,1,211286.95
m,64,2781.62,high,pensioner,hr staff,rural,111951.17,498.5,y,y,3,836.66,1,unpossessed,8,residential,rural,1,160652.91
m,26,1624.71,low,commercial associate,hr staff,semi-urban,27297.53,158.03,y,n,1,663.13,0,active,4,agriculture,rural,1,48137.16
m,54,2117.67,low,commercial associate,laborers,semi-urban,36608.41,278.89,n,y,1,730.41,0,inactive,6,commercial,rural,1,58046.75
f,18,1768.49,low,working,security staff,semi-urban,23122.55,251.28,y,y,2,638.28,0,inactive,5,agriculture,semi-urban,1,38961.5
f,18,2329.32,low,commercial associate,drivers,semi-urban,85117.42,371.76,y,y,2,739.82,0,unpossessed,6,residential,rural,1,147393.93
m,54,1594.36,low,working,high skill tech staff,semi-urban,43285.55,209.21,n,y,1,764.53,0,inactive,4,residential,rural,1,58366.04
m,18,1946.61,low,working,hr staff,semi-urban,74671.05,249.93,n,y,5,799.36,0,inactive,5,agriculture,semi-urban,1,122818.95
f,30,1739.76,low,state servant,hr staff,semi-urban,78639.64,344.91,n,y,1,685.68,0,active,5,agriculture,rural,1,142516.62
f,60,1694.84,low,working,laborers,semi-urban,41434.85,262.07,n,y,3,713.36,1,unpossessed,5,industrial,rural,1,72720.49
f,25,3174.5,low,working,core staff,semi-urban,113405.17,358.66,y,y,2,783.36,0,inactive,9,residential,semi-urban,1,164505.07
m,18,3717.63,low,commercial associate,hr staff,semi-urban,93989.19,529.53,y,y,2,865.91,1,unpossessed,10,industrial,semi-urban,1,128792.84
f,53,3794.41,low,working,laborers,semi-urban,65018.74,276.26,y,n,3,670.34,0,inactive,10,industrial,urban,1,118459.5
m,56,1368.4,low,working,laborers,rural,52992.75,333.94,n,y,2,760.32,1,unpossessed,4,agriculture,semi-urban,1,99810.64
m,43,1530.05,low,working,hr staff,semi-urban,80210.56,314.48,n,y,2,849.71,0,unpossessed,4,commercial,rural,1,135977.71
m,31,1962.55,low,commercial associate,sales staff,rural,127210.96,525.61,n,n,3,739.82,0,unpossessed,5,agriculture,rural,1,237584.62
m,20,2222.435,low,working,hr staff,urban,165936.02,443.06,n,n,4,739.82,0,inactive,6,agriculture,rural,1,285597.42
m,62,2919.76,high,pensioner,hr staff,semi-urban,73018.34,726.22,n,n,2,850.32,1,inactive,8,agriculture,semi-urban,1,81732.29
m,63,4318.81,low,commercial associate,hr staff,semi-urban,39838.09,293.41,y,y,4,716.73,0,active,12,industrial,urban,1,51960.01
m,34,2222.435,low,working,medicine staff,semi-urban,57345.32,252.27,n,n,1,700.19,0,inactive,6,residential,semi-urban,1,86460.22
f,40,2891.94,low,state servant,medicine staff,rural,137876.66,681.36,n,y,2,781.96,1,inactive,8,industrial,urban,1,252303.03
f,27,2222.435,low,commercial associate,sales staff,semi-urban,33008.28,253.82,n,n,2,838.96,0,unpossessed,6,commercial,rural,1,44880.35
f,18,2229.66,low,state servant,core staff,semi-urban,92926.9,218.49,n,y,5,779.25,1,active,6,commercial,semi-urban,1,172992.77
m,24,5697.06,low,working,hr staff,rural,136850.39,1477.91,n,n,2,776.42,0,active,16,industrial,urban,1,163829.52
f,35,3925.78,low,working,hr staff,semi-urban,78732.16,576.72,y,y,2,600.85,1,unpossessed,11,industrial,rural,1,136266.73
m,60,3118.73,low,working,laborers,semi-urban,135882.85,789.22,n,n,3,730.46,0,active,9,industrial,urban,1,161361.92
f,29,2039.62,low,working,laborers,semi-urban,55714.91,254.62,y,n,1,684.63,0,active,6,residential,urban,1,91665.79
f,39,3345.17,low,commercial associate,drivers,urban,118162.31,437.37,y,n,2,748.93,0,active,9,commercial,urban,0,151817.54
m,64,1396.8,low,commercial associate,laborers,semi-urban,163915.17,553.42,n,y,4,781.69,1,inactive,4,residential,rural,1,299826.86
f,18,1233.74,low,commercial associate,hr staff,semi-urban,33784.63,175.15,n,n,2,682.86,0,active,3,industrial,urban,1,44939.92
f,21,1829.46,low,commercial associate,hr staff,semi-urban,100461.77,910.83,y,y,4,727.3,1,unpossessed,5,industrial,rural,1,189890.02
f,48,6056.38,low,working,drivers,semi-urban,59531.94,629.67,n,y,2,828.39,0,inactive,17,industrial,semi-urban,0,112463.84
f,39,1297.05,low,working,laborers,rural,28238.04,135.59,y,y,2,630.09,1,unpossessed,4,commercial,urban,1,33421.99
f,18,1558.73,low,working,laborers,rural,75656.24,408.59,n,y,2,663.74,0,active,4,commercial,semi-urban,1,100717.43
m,29,4002.04,low,commercial associate,managers,rural,57150.16,407.39,y,y,4,782.19,0,inactive,11,residential,rural,1,72709.47
m,18,2083.34,low,working,high skill tech staff,semi-urban,32230.01,208.61,y,n,1,631.66,1,unpossessed,6,agriculture,semi-urban,1,45127.58
f,39,2756.74,low,commercial associate,laborers,semi-urban,201662.5,539.74,n,y,3,654.98,0,unpossessed,8,residential,rural,1,375632.82
m,18,2813.94,low,working,hr staff,semi-urban,165670.28,410.74,n,n,1,766.21,0,unpossessed,6,residential,semi-urban,1,198539.08
f,21,3215.84,low,commercial associate,hr staff,rural,184484.4,479.94,n,n,1,765.24,0,active,9,industrial,rural,1,348103.48
f,36,1591.72,low,working,sales staff,semi-urban,48373.34,241.16,n,y,3,728.09,0,unpossessed,4,agriculture,rural,1,74100.66
f,33,2222.435,low,working,core staff,semi-urban,50917.09,250.95,y,y,3,739.82,0,unpossessed,6,residential,rural,1,72057.27
f,38,2070.3,low,working,laborers,rural,82391.86,582.5,y,y,3,625.56,0,inactive,6,residential,rural,1,142055.03
f,23,2844.27,low,working,medicine staff,semi-urban,25273.08,136.0,n,n,2,659.21,0,inactive,8,residential,urban,0,42410.78
m,18,1183.11,low,working,sales staff,semi-urban,37122.94,181.78,n,y,2,779.33,0,active,3,commercial,rural,1,64607.83
m,58,1233.48,low,working,hr staff,semi-urban,20039.71,93.1,n,y,1,822.86,0,unpossessed,3,agriculture,semi-urban,1,32103.97
m,20,1413.44,low,working,cooking staff,semi-urban,24508.9,182.66,y,y,1,743.84,0,unpossessed,4,industrial,rural,1,35673.14
f,34,1405.31,low,commercial associate,hr staff,semi-urban,79712.75,296.79,n,y,2,728.51,0,unpossessed,4,commercial,rural,1,104766.19
f,24,2222.435,low,commercial associate,hr staff,semi-urban,42396.14,258.43,n,y,4,693.03,0,inactive,6,residential,urban,1,79210.21
f,18,2222.435,low,working,drivers,semi-urban,7235.24,72.34,n,n,3,612.39,0,unpossessed,6,residential,semi-urban,1,9172.79
f,62,2222.435,low,commercial associate,managers,semi-urban,104577.44,526.93,y,y,3,715.48,0,inactive,6,agriculture,semi-urban,1,168512.18
m,43,1329.25,low,working,cooking staff,semi-urban,99827.17,492.89,y,y,4,769.68,0,unpossessed,4,industrial,rural,1,183034.04
f,22,2222.435,low,commercial associate,drivers,semi-urban,71233.94,535.78,y,y,2,703.68,0,active,6,industrial,rural,1,109252.1
m,18,3045.55,low,working,laborers,semi-urban,300713.52,1082.08,n,y,2,739.82,0,inactive,8,agriculture,urban,1,560255.17
f,59,1707.23,low,working,laborers,rural,150336.16,753.37,n,y,2,793.13,0,active,5,industrial,semi-urban,1,234591.98
m,43,3033.11,low,working,sales staff,semi-urban,49374.79,460.41,y,n,1,841.84,0,unpossessed,8,residential,semi-urban,1,84217.88
m,55,1288.34,low,commercial associate,hr staff,semi-urban,34108.52,151.45,n,y,1,789.77,0,active,4,commercial,urban,1,63257.48
f,52,4183.69,low,commercial associate,laborers,semi-urban,66781.69,622.92,n,y,2,702.34,0,inactive,11,residential,urban,1,102215.0
f,29,1842.66,low,working,core staff,semi-urban,19330.36,97.97,n,n,2,781.58,1,active,5,residential,semi-urban,1,31178.43
m,29,2728.65,low,working,managers,semi-urban,68844.96,677.28,y,y,2,756.42,0,inactive,7,residential,semi-urban,1,111821.73
m,18,2239.56,low,state servant,accountants,semi-urban,36720.27,191.39,y,y,3,759.9,0,active,6,industrial,rural,1,57689.24
f,65,1814.58,high,pensioner,hr staff,semi-urban,41656.6,229.83,y,y,1,845.23,0,active,5,agriculture,urban,1,67648.72
f,47,1852.67,low,state servant,core staff,semi-urban,36481.2,108.47,n,n,1,851.93,1,unpossessed,5,residential,semi-urban,1,48185.81
m,35,2148.79,low,working,core staff,semi-urban,54542.34,344.63,n,y,1,792.25,0,active,6,commercial,urban,1,63458.81
f,44,3527.3,low,working,medicine staff,semi-urban,96589.39,479.97,y,y,2,787.45,0,inactive,10,residential,semi-urban,1,161519.71
f,39,2792.16,low,state servant,high skill tech staff,rural,70623.18,558.94,y,n,1,776.29,0,active,8,industrial,urban,1,124261.12
